Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,Constituency,State,District,Year,House,Comment
Anoop V.,IND,0,12th Pass,35,126819,0,No,PATHANAMTHITTA,KERALA,,2024,Lok Sabha,No Comment
Anto Antony,INC,5,Graduate,67,12471856,15673065,No,PATHANAMTHITTA,KERALA,,2024,Lok Sabha,No Comment
Dr.T.M.Thomas Issac,CPI(M),6,Doctorate,71,1338909,0,No,PATHANAMTHITTA,KERALA,,2024,Lok Sabha,No Comment
Joy P.Mathew,Peoples Party of India(secular),0,12th Pass,53,2633000,0,No,PATHANAMTHITTA,KERALA,,2024,Lok Sabha,No Comment
K.C.Thomas,IND,0,10th Pass,67,700000,3360000,No,PATHANAMTHITTA,KERALA,,2024,Lok Sabha,No Comment
Abdussamed Malayampall,IND,0,10th Pass,49,4368382,0,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Adv. Nivedida,BJP,5,Post Graduate,53,95633596,6369577,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Bindhu W/O Devaraja,IND,0,8th Pass,56,1754106,400000,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Dr. M.P Abdussamad Samada,Indian Union Muslim League,1,Doctorate,65,21977344,0,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Hamsa S/O Moidutty,IND,0,10th Pass,57,1135000,0,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Hamza Kadavand,IND,0,5th Pass,61,2578808,0,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
K.S Hamza,CPI(M),1,Graduate,56,34800808,19358142,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Vinod,BSP,0,10th Pass,40,2503788,448300,No,PONNANI,KERALA,,2024,Lok Sabha,No Comment
Adv Rajendra,BSP,0,Graduate Professional,62,10191430,0,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Adv Shine Lal M P,IND,3,Graduate Professional,35,744600,700000,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Chalai Mohana,IND,0,12th Pass,57,1864000,550000,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
J J Russell,IND,0,Graduate Professional,44,5194520,159942,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
M S Sub,IND,0,10th Pass,39,3963500,650000,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Nandavanam Suseela,IND,0,8th Pass,72,7000,0,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Pannian Ravindra,CPI,2,5th Pass,78,1414729,0,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Rajeev Chandrasekha,BJP,2,Doctorate,59,862973940,210536866,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
S M,SUCI(C),0,Others,49,208161,0,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Sasi Kongapally,IND,0,5th Pass,71,892000,0,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Shaju Paliyodu,IND,2,12th Pass,48,8150110,25000,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Shashi Tharoo,INC,12,Doctorate,68,560656126,0,No,THIRUVANANTHAPURAM,KERALA,,2024,Lok Sabha,No Comment
Adv P K Narayanan S/O Kora,BSP,0,Graduate Professional,64,2805625,1610000,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
Adv V S Sunilkuma,CPI,2,Graduate Professional,56,6407442,2200000,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
Divakaran Pallath,New Labour Party,0,10th Pass,70,724000,0,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
Joshi Villadom,IND,0,Graduate,54,4585975,7850000,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
K Muraleedhara,INC,9,Graduate,67,134095491,336000,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
M S Jafargha,IND,4,12th Pass,37,2655000,0,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
Prathapa,IND,0,10th Pass,51,3822200,254022,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
Sunilkumar S/O Prabhakara,IND,0,5th Pass,51,8483811,2090000,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
Suresh Gop,BJP,4,Post Graduate,65,185815323,12916425,No,THRISSUR,KERALA,,2024,Lok Sabha,No Comment
K K Shailaja,CPI(M),4,Graduate Professional,67,15728421,435800,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
K K Shylaja,IND,0,5th Pass,59,751500,0,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Kunhikannan Payyol,IND,0,5th Pass,67,801778,20000,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Muralidhara,IND,0,10th Pass,51,2182257,50000,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Praphul Krishna,BJP,6,Post Graduate,38,11958716,2710110,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Shaf,IND,0,5th Pass,43,2769381,150000,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Shafi Parambil,INC,47,Post Graduate,41,9934524,1500000,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Shafi T P,IND,0,10th Pass,41,3355206,0,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Shylaja,IND,0,12th Pass,55,2351500,0,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Sylaja P,IND,0,Post Graduate,60,4544000,0,No,VADAKARA,KERALA,,2024,Lok Sabha,No Comment
Ajeeb Muhammed,IND,0,10th Pass,46,23000000,2500000,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
Annie Raja,CPI,1,Graduate,60,16112844,0,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
K Surendra,BJP,243,Graduate,54,10085808,1053975,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
P Radhakrishna,IND,1,12th Pass,41,191300,0,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
P.R Krishnankutty,BSP,1,5th Pass,68,702000,0,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
Praseetha Azhikod,IND,0,10th Pass,48,3270000,522000,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
Rahul Gandh,INC,19,Post Graduate,53,203961862,4979184,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
Sathyan K.P,IND,0,10th Pass,50,1672854,280000,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
Sinoj A.C,IND,0,12th Pass,34,100000,0,No,WAYANAD,KERALA,,2024,Lok Sabha,No Comment
Koya,IND,0,12th Pass,66,14428193,0,No,LAKSHADWEEP,LAKSHADWEEP,,2024,Lok Sabha,No Comment
Mohammed Faizal Pp,Nationalist Congress Party – Sharadchandra Pawar,5,Post Graduate,48,9695095,622734,No,LAKSHADWEEP,LAKSHADWEEP,,2024,Lok Sabha,No Comment
Muhammed Hamdullah Sayeed,INC,0,Graduate Professional,41,148548173,0,No,LAKSHADWEEP,LAKSHADWEEP,,2024,Lok Sabha,No Comment
Yousuf Tp,NCP,0,Literate,49,3059075,0,No,LAKSHADWEEP,LAKSHADWEEP,,2024,Lok Sabha,No Comment
Advocate Satyaprakash Shulk,Madhya Pradesh Jan Vikas Party,0,Graduate Professional,45,1267608,0,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Bharti Pardh,BJP,0,Graduate,56,59018167,0,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Bhuvan Singh Koram,IND,0,Graduate Professional,54,5976500,2113000,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
D.L. Maneshwa,Peoples Party of India (Democratic),0,Post Graduate,70,11425000,0,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dhanendra Dev Pawar Banwari Seth,IND,1,Graduate,33,1302597,1125716,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dileep Chhabda,IND,0,Graduate,50,39703902,12015000,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kankar Munja,BSP,5,Others,72,52007325,750000,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mahadev Nagdev,IND,0,8th Pass,52,44500,80000,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mohan Raut,Rashtravadi Bharat Party,0,10th Pass,53,1985000,0,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Nandlal Uikey,Gondvana Gantantra Party,0,Post Graduate,55,1200000,0,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Priyanka Sanjay Bhandarka,Bhartiya Shakti Chetna Party,0,10th Pass,36,9012000,0,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rajkumar Nageshw,IND,1,Graduate,29,23930000,90000,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Samrat Ashok Singh Saraswa,INC,1,10th Pass,49,194967076,15740035,No,BALAGHAT,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ajay Barkad,IND,0,12th Pass,30,496500,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Bunty Vivek Sahu,BJP,1,Graduate,45,367731210,12241255,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Deviram Alias Dev Raven Bhalav,Gondvana Gantantra Party,9,Graduate,27,314000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Fogal Bansod,Republican Party of India (A),0,5th Pass,72,94000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Govind Bhalav,IND,0,5th Pass,33,797000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kapil So,Rashtriya Gondvana Party,0,Graduate,36,564000,350000,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kushwaha Rajesh Tantrik,Ahinsa Samaj Party,1,12th Pass,53,36442000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mohd. Parvez Quresh,IND,0,Post Graduate,43,459000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Nakul Nath,INC,0,Graduate,49,7169405139,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Pawanshah Saryam,IND,2,12th Pass,25,440000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Prakash Alias Banty,Rashtra Samarpan Party,0,Graduate,36,125000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rajendra Dongra,IND,0,10th Pass,43,156500,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Siraj Shekh,IND,0,5th Pass,52,164000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Subhash Shukla,IND,0,10th Pass,55,1055000,0,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Umakant Bandewa,BSP,0,8th Pass,50,2454020,220000,No,CHHINDWARA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Bhaiya Vijay Patel (Kurmi) Tirgarh Bal,Bhartiya Shakti Chetna Party,3,5th Pass,38,2266000,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Durga Mous,IND,0,Literate,36,731500,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Engineer Goverdhan Raj,BSP,0,Post Graduate,58,1392785,460000,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Manu Singh Marav,Bharat Adivasi Party,0,5th Pass,54,2858600,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Nandan Kumar Ahirwal,IND,0,8th Pass,49,588500,140000,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Neelesh So,IND,0,8th Pass,32,1838000,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rahul Bhaiya S/O Jeevan Lal,IND,0,10th Pass,35,33768,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rahul Bhaiya S/O Ram Pratap,IND,0,8th Pass,30,775000,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rahul Singh Lodh,BJP,0,12th Pass,40,16355135,553202,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rajesh Singh Soyam,Gondvana Gantantra Party,0,8th Pass,43,941500,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rakesh Kumar Ahirwa,IND,0,10th Pass,47,876147,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Tarbar Singh Lodhi (Bantu Bhaiya),INC,0,12th Pass,44,23175640,2666070,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Tarvar Singh Lodh,IND,0,8th Pass,38,2203000,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Vedram Kurm,IND,0,Graduate Professional,34,3895000,0,No,DAMOH,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Darshan Singh Choudhary,BJP,0,Post Graduate,48,9349061,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Jyoti Suresh Jhariya,IND,0,8th Pass,33,1958000,877000,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Makhan Singh Lodh,Bhartiya Shakti Chetna Party,0,10th Pass,50,947450,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mukesh Yadav,IND,0,8th Pass,32,164000,22000,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Pandit Brajesh Khemariya,IND,0,Others,41,11100000,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Pandit Divyendra Brijmohan Dubey Advocat,Bharatiya Yuva Jan Ekta Party,0,Post Graduate,39,13796510,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Patrakar Tilak Jatav,IND,0,12th Pass,42,6849000,521000,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rakesh Ramprasad Ricky,IND,0,Post Graduate,58,74040000,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ramgovind Barua,BSP,0,8th Pass,62,1390058,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Sanjay Sharma Sanju Bhaiya,INC,1,12th Pass,54,2327279636,989179205,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Sarjerao Saha,IND,0,Post Graduate,71,13721946,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Yuvraj Gavad,IND,0,10th Pass,58,3420200,0,No,HOSHANGABAD,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Advocate Uday Kumar Sahu,Gondvana Gantantra Party,1,Graduate Professional,53,30343010,1800000,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ashish Dubey,BJP,0,Graduate Professional,54,351856860,13529284,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ashok Rana,Rashtra Nirman Party,1,Graduate,67,30965000,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Comrade Sachin Ja,SUCI(C),0,Post Graduate,71,1172117,723421,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dasai Ram Kol,Aadim Samaj Party,0,12th Pass,61,5696000,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dinesh Yadav,IND,0,10th Pass,31,24000,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dinesh Yadav,INC,0,Graduate Professional,59,58507374,5120019,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dr. Dhai Aksha,IND,0,Graduate,55,52070000,114493,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Er. Pravin Gajbhiye (Dada),IND,0,Graduate Professional,55,26000,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Foji Vijay Haldkar (Ex-Army),IND,0,Graduate,42,7512000,200000,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Gulab Singh,IND,0,8th Pass,46,5150,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Jagdish Singh Lodh,Bhartiya Shakti Chetna Party,0,Graduate,32,3161000,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Lal Singh,Rashtriya Samaj Dal (R),0,Literate,48,4372746,80000,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mahaveer Ja,IND,0,12th Pass,26,12706042,10102123,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Poornesh Kumar Ja,IND,0,12th Pass,32,3070000,2300000,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rakesh Choudhary,BSP,0,Graduate,54,5304777,144000,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ramkumar Pas,Bahujan Awam Party,0,12th Pass,62,8718600,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Santosh Kumar Kushwaha,IND,1,12th Pass,54,20000,0,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Swatanatra Samaj Sevi Vinay Chakravart,IND,3,Graduate,28,1041436,556800,No,JABALPUR,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Bitiaya Ahirwa,IND,0,Illiterate,54,1086600,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Firoj Kha,IND,3,12th Pass,52,7561086,127000,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Giran Singh,Bhartiya Shakti Chetna Party,0,Not Given,56,10227000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kamlesh Kuma,BSP,0,12th Pass,50,9210000,1000000,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kapil Gupta Bhartiya,Akhil Bhartiya Parivar Party,0,Post Graduate,35,1226000,308000,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Keshkal,Rashtriya Jansanchar Dal,0,5th Pass,38,3860000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Laxmi Prasad,IND,0,Literate,66,4795000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mohammad Imra,Rashtriya Jansambhavna Party,2,Graduate Professional,39,930000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Nand Kisho,Peoples Party of India (Democratic),0,12th Pass,45,2727000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Pankaj Maurya (Kushwaha),Gondvana Gantantra Party,0,Post Graduate,35,1132500,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Panna Lal Tripath,Indian Peoples Adhikar Party,0,Literate,53,10725000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Penter Sunman Singh Lodh,IND,4,10th Pass,37,392000,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
R. B. Prajapati (Raja Bhaiya),All India Forward Bloc,0,Post Graduate,64,23703002,0,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Vishnu Datt Sharma (V.D.Sharma),BJP,1,Post Graduate,54,49262858,18438272,No,KHAJURAHO,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ashok Saraiya,IND,0,10th Pass,44,7960000,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Chandra Singh Kushram,Bhartiya Shakti Chetna Party,0,Graduate,44,233500,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Charan Singh Dhurwey,Bharat Adivasi Party,0,Post Graduate,46,9540000,2150000,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dev Singh Kum,IND,0,Post Graduate,41,16493500,1800000,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dr. Bhaw Singh Tekam,IND,0,Graduate Professional,67,21000000,400000,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Faggan Singh Kulast,BJP,0,Post Graduate,64,53526381,3380099,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ghur Singh Sallam,IND,0,5th Pass,68,5273000,210000,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Indar Singh Uikey,BSP,0,12th Pass,57,1575000,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kaliya Bai Kakodia,IND,0,5th Pass,50,1151000,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Mahesh Kumar Watt,Gondvana Gantantra Party,2,Post Graduate,55,8204500,2700000,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Omkar Singh Markam,INC,0,Post Graduate,47,14109180,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rakesh Singh Thaku,IND,0,12th Pass,27,208260,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ramkumar Inwat,Smart Indians Party,0,Post Graduate,50,4346000,100000,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Sitar Markam,IND,0,12th Pass,39,789000,0,No,MANDLA (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Adv. Abhishek Master Buddhsen Patel,BSP,0,Post Graduate,35,36916113,1954965,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Arun Tiwari (Mintu),IND,1,Graduate,34,2727006,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Arunendra Narayan Pandey,IND,0,Graduate,32,563000,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dayashankar Pandey,IND,0,Graduate,29,2566617,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Er. Devendra Singh,Sapaks Party,0,Graduate Professional,62,26657062,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Er. Ram Kumar So,IND,0,Post Graduate,38,1121507,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Janardan Mishra S/O Ramdhar Prasad Mishra,BJP,0,Graduate Professional,67,50938896,10536551,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Janardan Mishra S/O Sukhinand,IND,0,Graduate,51,395500,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Neelam Abhay Mishra,INC,0,Post Graduate,51,348868704,31732549,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Prassan Jeet Singh,IND,0,Graduate Professional,35,27578344,12200000,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ram Gopal Singh,Peoples Party of India (Democratic),0,Post Graduate,62,16801000,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ranjan Gupta,Rashtravadi Bharat Party,1,Post Graduate,47,20683128,6914218,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Roshan Lal Kol,IND,0,Literate,55,750000,0,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Vipin Singh Patel,Rashtriya Hind Ekta Dal,0,10th Pass,34,1550000,150000,No,REWA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Adv. Ashok Saket,Bahujan Dravida Party,0,Graduate Professional,37,475000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ashok Baudh,IND,0,Graduate,46,2887000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ashok Kumar Gupta,Bhartiya Shakti Chetna Party,0,12th Pass,45,2356840,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Azeez Ahmed Quraishy,Manviya Bharat Party,0,Post Graduate,70,3229780,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Chandrabhan Kol,IND,0,Post Graduate,39,410500,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Chhedi Lal Prajapati (Panda Baba),IND,0,Literate,58,3058434,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dabbu Siddharth Sukhlal Kushwaha,INC,0,Graduate,39,16765125,4339500,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Durgesh Kumar Vishwakarma,IND,0,Graduate Professional,34,20259449,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ganesh Singh,BJP,3,Post Graduate,61,94681128,22864373,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Hari Shankar Tiwari (Loha Wala),Bharatiya Jan Morcha Party,0,Graduate,45,11648990,2455000,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Kalim Ahmad Bachcha,IND,0,10th Pass,69,470000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Master Ji Ajit Kumar Jayswal,Peoples Party of India (Democratic),0,Doctorate,71,16925000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Nanku Yadav,Akhil Bharatiya Hind Kranti Party,0,Graduate,53,5445000,350000,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Narayan Tripath,BSP,0,Post Graduate,63,9709528,6700000,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rahul Dahiya,IND,0,Graduate,35,650000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Ranjana Mishra,Nyaydharmsabha,0,Post Graduate,51,2597062,55000,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Rishabh Singh,IND,0,Graduate,28,75000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
"Safi Ulla ""Dbbu Bhai""",IND,0,Graduate,54,255000,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Sukhlal Verma Ratnesh,IND,0,Post Graduate,65,21646500,0,No,SATNA,MADHYA PRADESH,,2024,Lok Sabha,No Comment
Amrit Lal Singh Uikey,Peoples Party of India (Democratic),0,Graduate,27,371000,0,No,SHAHDOL (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Anil Singh Dhurvey,Gondvana Gantantra Party,0,12th Pass,39,1120000,0,No,SHAHDOL (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dhani Ram Kol,BSP,0,10th Pass,45,4807324,40000,No,SHAHDOL (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Dr. Durga Wati Bharia,Chhattisgarh Vikas Ganga Rashtriya Party,0,8th Pass,30,61000,0,No,SHAHDOL (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
Gunjan Singh,IND,0,8th Pass,39,5555000,0,No,SHAHDOL (ST),MADHYA PRADESH,,2024,Lok Sabha,No Comment
